title,price,bedrooms,area,link,image,description
,4633,0,"The Biltmore | 271 W 47th St, New York, NY",https://www.zillow.com/apartments/new-york-ny/the-biltmore/Ch2fYf/,,
,3850,0,"Eighty Nine DeKalb | 89 Dekalb Ave, Brooklyn, NY",https://www.zillow.com/apartments/brooklyn-ny/eighty-nine-dekalb/CpsynP/,,
,4321,0,"19 Dutch | 19 Dutch St, New York, NY",https://www.zillow.com/apartments/new-york-ny/19-dutch/CmVFgm/,,
,3700,0,"Murray Hill Marquis | 150 E 34th St, New York, NY",https://www.zillow.com/apartments/new-york-ny/murray-hill-marquis/ChbrjF/,,
,4195,0,"The Oriana | 420 E 54th St, New York, NY",https://www.zillow.com/apartments/manhattan-ny/the-oriana/5XWNCh/,,
,4845,4,"Watermark LIC | 27-19 44th Dr, Long Island City, NY",https://www.zillow.com/apartments/long-island-city-ny/watermark-lic/ChQT37/,,
,4056,0,"The Sagamore | 189 W 89th St, New York, NY",https://www.zillow.com/apartments/new-york-ny/the-sagamore/7Tf7/,,
,2755,0,"Miramar | 407 W 206th St, New York, NY",https://www.zillow.com/apartments/new-york-ny/miramar/Ckg3bQ/,,
,3427,0,"AVA DoBro | 100 Willoughby St, Brooklyn, NY",https://www.zillow.com/apartments/brooklyn-ny/ava-dobro/39Ct/,,
,4595,4,"417 E 57th St, New York, NY",https://www.zillow.com/apartments/new-york-ny/sutton-marquis/3J8D/,,
,3644,0,"West Wharf | 60 Wharf Dr, Brooklyn, NY",https://www.zillow.com/apartments/brooklyn-ny/west-wharf/CgH58y/,,
,3105,0,"One Blue Slip | 1 Blue Slip, Brooklyn, NY",https://www.zillow.com/apartments/brooklyn-ny/one-blue-slip/Ch6nMP/,,
,2395,2,"147-25 94th Ave, Jamaica, NY",https://www.zillow.com/apartments/jamaica-ny/alvista-rise/CkKPP9/,,
,2775,2,"The Century | 2600 Netherland Ave, Bronx, NY",https://www.zillow.com/apartments/bronx-ny/the-century/37XF/,,
,3510,0,"461 Dean | 461 Dean St, Brooklyn, NY",https://www.zillow.com/apartments/brooklyn-ny/461-dean/CkCTbW/,,
,4042,0,"Avalon Midtown West | 250 W 50th St, New York, NY",https://www.zillow.com/apartments/new-york-ny/avalon-midtown-west/CgJmg9/,,
,3788,0,"The Aldyn | 60 Riverside Blvd, New York, NY",https://www.zillow.com/apartments/new-york-ny/the-aldyn/2BHy/,,
,3875,0,"Gateway | 389 S End Ave, New York, NY",https://www.zillow.com/apartments/new-york-ny/gateway/5XjY8c/,,
,3730,0,"Avalon Clinton | 515 W 52nd St, New York, NY",https://www.zillow.com/apartments/new-york-ny/avalon-clinton/5XVMSF/,,
,4265,0,"Avalon West Chelsea | 282 11th Ave, New York, NY",https://www.zillow.com/apartments/new-york-ny/avalon-west-chelsea/ChcJSv/,,
,2460,2,"Archer House | 148-37 88th Ave, Jamaica, NY",https://www.zillow.com/apartments/jamaica-ny/archer-house/CkBRRF/,,
,3726,0,"Willoughby | 196 Willoughby St, Brooklyn, NY",https://www.zillow.com/apartments/brooklyn-ny/willoughby/CkCdmG/,,
,2195,0,"Fairfield At Far Rockaway | 707 Beach 9th St, Far Rockaway, NY",https://www.zillow.com/apartments/far-rockaway-ny/fairfield-at-far-rockaway/5YCf98/,,
,6195,,"Marquis West Side, 70 W 95th St APT 12F, New York, NY 10025",https://www.zillow.com/apartments/new-york-ny/marquis-west-side/5XjMc6/,,
,4585,0,"Avalon Bowery Place | 11 E 1st St, New York, NY",https://www.zillow.com/apartments/new-york-ny/avalon-bowery-place/CpY7wM/,,
,5850,5,"Two Lincoln Square | 60 W 66th St, New York, NY",https://www.zillow.com/apartments/manhattan-ny/two-lincoln-square/Ch2dnY/,,
,3663,0,"James Marquis | 101 W 90th St, New York, NY",https://www.zillow.com/apartments/new-york-ny/james-marquis/Ck8pfD/,,
,4288,4,"180 Montague | 180 Montague St, Brooklyn, NY",https://www.zillow.com/apartments/brooklyn-ny/180-montague/5XyZr5/,,
,4854,0,"88 Leonard | 88 Leonard St, New York, NY",https://www.zillow.com/apartments/new-york-ny/88-leonard/CpKBjz/,,
,3265,0,"Avalon Riverview | 475 48th Ave, Long Island City, NY",https://www.zillow.com/apartments/long-island-city-ny/avalon-riverview/ChdkCn/,,
,1995,0,"Fairfield Manor at Douglaston | 43 Douglaston Pkwy, Little Neck, NY",https://www.zillow.com/apartments/douglaston-ny/fairfield-manor-at-douglaston/CjjC7T/,,
,4299,0,"Magnolia Dumbo | 160 Front St, Brooklyn, NY",https://www.zillow.com/apartments/brooklyn-ny/magnolia-dumbo/CjjDjS/,,
,3481,0,"The Octagon | 888 Main St, New York, NY",https://www.zillow.com/apartments/new-york-ny/the-octagon/CkBh56/,,
,2900,,"Fairfield Riverpark At Astoria, 18 Ditmars Blvd #1B-1Ba, Astoria, NY 11105",https://www.zillow.com/apartments/astoria-ny/fairfield-riverpark-at-astoria/Cp4T2V/,,
,5000,,"224 E 59th St, 224 E 59th St, New York, NY 10022",https://www.zillow.com/apartments/new-york-ny/224-e-59th-st/CmPs9P/,,
,,1,"535 Carlton Avenue | 535 Carlton Ave, Brooklyn, NY",https://www.zillow.com/apartments/brooklyn-ny/535-carlton-avenue/CkCVDW/,,
,,1,"7 Dekalb | 7 Dekalb Ave, Brooklyn, NY",https://www.zillow.com/apartments/brooklyn-ny/7-dekalb/Ck2TRs/,,
,2390,,"2079 Wallace Ave APT 371, Bronx, NY 10462",https://www.zillow.com/homedetails/2079-Wallace-Ave-APT-371-Bronx-NY-10462/215952394_zpid/,,
,2000,,"134 Bay 14 St #2R, Brooklyn, NY 11214",https://www.zillow.com/homedetails/134-Bay-14-St-2R-Brooklyn-NY-11214/443823886_zpid/,,
,4500,,"2021 Linden St #1, Ridgewood, NY 11385",https://www.zillow.com/homedetails/2021-Linden-St-1-Ridgewood-NY-11385/2078228879_zpid/,,
,2700,,"7717 15th Ave Floor 2, Brooklyn, NY 11228",https://www.zillow.com/homedetails/7717-15th-Ave-FLOOR-2-Brooklyn-NY-11228/461529291_zpid/,,
,3200,,"430 Saint Marks Pl #3B, Staten Island, NY 10301",https://www.zillow.com/homedetails/430-Saint-Marks-Pl-3B-Staten-Island-NY-10301/461494115_zpid/,,
,3090,,"(undisclosed Address), Bronx, NY 10465",https://www.zillow.com/homedetails/Bronx-NY-10465/457208634_zpid/,,
,2850,,"24907 88th Rd #2, Bellerose, NY 11426",https://www.zillow.com/homedetails/24907-88th-Rd-2-Bellerose-NY-11426/461517986_zpid/,,
